day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2024-07-17,MES,SHORT,2024-07-17 12:00:00-04:00,5651.25,2024-07-17 15:00:00-04:00,5637.75,3,SESSION_FLATTEN,0.449,198.06,85.6,False
2024-07-18,MES,SHORT,2024-07-18 12:00:00-04:00,5595.50,2024-07-18 15:00:00-04:00,5593.25,2,SESSION_FLATTEN,0.066,19.54,90.9,False
2024-07-19,MES,SHORT,2024-07-19 12:00:00-04:00,5574.00,2024-07-19 15:00:00-04:00,5554.25,2,SESSION_FLATTEN,0.562,194.54,93.7,False
2024-07-22,MES,SHORT,2024-07-22 12:00:00-04:00,5580.00,2024-07-22 15:00:00-04:00,5609.75,2,SESSION_FLATTEN,-0.774,-300.46,102.5,False
2024-07-23,MES,LONG,2024-07-23 12:00:00-04:00,5624.75,2024-07-23 15:00:00-04:00,5598.75,2,SESSION_FLATTEN,-0.774,-262.96,89.6,False
2024-07-24,MES,SHORT,2024-07-24 12:00:00-04:00,5502.50,2024-07-24 15:00:00-04:00,5472.25,2,SESSION_FLATTEN,0.809,299.54,99.7,False
2024-07-29,MES,SHORT,2024-07-29 12:00:00-04:00,5510.50,2024-07-29 15:00:00-04:00,5503.25,2,SESSION_FLATTEN,0.163,69.54,119.0,False
2024-07-30,MES,SHORT,2024-07-30 12:00:00-04:00,5458.25,2024-07-30 15:00:00-04:00,5473.25,2,SESSION_FLATTEN,-0.373,-152.96,107.2,False
2024-07-31,MES,LONG,2024-07-31 12:00:00-04:00,5560.75,2024-07-31 15:00:00-04:00,5556.50,2,SESSION_FLATTEN,-0.094,-45.46,120.5,False
2024-08-01,MES,SHORT,2024-08-01 12:00:00-04:00,5498.50,2024-08-01 15:00:00-04:00,5481.00,1,SESSION_FLATTEN,0.350,86.02,133.4,False
2024-08-12,MES,LONG,2024-08-12 12:00:00-04:00,5387.50,2024-08-12 15:00:00-04:00,5371.25,1,SESSION_FLATTEN,-0.303,-82.73,142.9,False
2024-08-13,MES,LONG,2024-08-13 12:00:00-04:00,5429.00,2024-08-13 15:00:00-04:00,5458.25,2,SESSION_FLATTEN,0.643,289.54,125.4,False
2024-08-14,MES,LONG,2024-08-14 12:00:00-04:00,5485.25,2024-08-14 15:00:00-04:00,5474.75,2,SESSION_FLATTEN,-0.257,-107.96,109.1,False
2024-08-15,MES,LONG,2024-08-15 12:00:00-04:00,5554.25,2024-08-15 15:00:00-04:00,5568.50,2,SESSION_FLATTEN,0.341,139.54,111.5,False
2024-08-16,MES,LONG,2024-08-16 13:00:00-04:00,5584.50,2024-08-16 15:00:00-04:00,5578.00,2,SESSION_FLATTEN,-0.191,-67.96,90.8,False
2024-08-19,MES,LONG,2024-08-19 12:00:00-04:00,5598.00,2024-08-19 15:00:00-04:00,5630.75,3,SESSION_FLATTEN,1.080,486.81,80.8,False
2024-08-27,MES,LONG,2024-08-27 12:00:00-04:00,5635.75,2024-08-27 15:00:00-04:00,5643.75,2,SESSION_FLATTEN,0.238,77.04,89.8,False
2024-08-29,MES,LONG,2024-08-29 12:00:00-04:00,5652.25,2024-08-29 14:00:00-04:00,5617.98,2,STOP,-1.007,-345.65,90.7,False
