day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2026-07-24,ES,SHORT,2026-07-24 10:00:00-04:00,7433.50,2026-07-24 10:00:00-04:00,7436.86,1,STOP,-1.080,-173.45,35.4,False
2026-07-27,ES,SHORT,2026-07-27 10:25:00-04:00,7456.00,2026-07-27 10:25:00-04:00,7450.38,1,TARGET,1.915,275.79,46.5,False
2026-07-28,ES,SHORT,2026-07-28 09:50:00-04:00,7432.50,2026-07-28 09:50:00-04:00,7435.96,1,STOP,-1.078,-178.57,35.0,False
2026-07-28,ES,LONG,2026-07-28 10:55:00-04:00,7452.25,2026-07-28 10:55:00-04:00,7448.97,1,STOP,-1.082,-169.64,42.7,False
2026-07-29,ES,SHORT,2026-07-29 09:55:00-04:00,7433.75,2026-07-29 09:55:00-04:00,7428.27,1,TARGET,1.913,268.55,33.9,False
2026-07-30,ES,LONG,2026-07-30 09:50:00-04:00,7427.75,2026-07-30 09:50:00-04:00,7424.37,1,STOP,-1.080,-174.58,78.5,False
2026-07-30,ES,SHORT,2026-07-30 11:20:00-04:00,7407.50,2026-07-30 11:20:00-04:00,7410.71,1,STOP,-1.084,-165.85,58.2,False
2026-07-31,ES,SHORT,2026-07-31 10:05:00-04:00,7454.25,2026-07-31 10:05:00-04:00,7457.29,1,STOP,-1.090,-157.56,44.2,False
2026-08-03,ES,LONG,2026-08-03 09:50:00-04:00,7571.00,2026-08-03 09:50:00-04:00,7568.11,1,STOP,-1.095,-149.68,41.6,False
2026-08-04,ES,LONG,2026-08-04 09:50:00-04:00,7677.25,2026-08-04 09:50:00-04:00,7681.97,1,TARGET,1.899,230.64,27.6,False
